ID,Sentence1,Sentence2,Class
7158,"In 2011 , he won third place at the Parapan American Games in Charlotte , USA , and another third place at the International Champions Tournament in Guadalajara , Mexico .","He won third place at the Parapan American Games in Charlotte , USA in 2011 and another third place at the International Tournament of Champions in Guadalajara , Mexico .",1
7159,"From 1921 to 2012 , the Blue Ash was the location of Cincinnati Airport -- Blue Ash .",Blue Ash was the site of Blue Ash Airport -- Cincinnati from 1921 to 2012 .,0
7160,"Silver became the engine of the Spanish colonial economy , both in New Spain and in Peru .",Silver became the motor of the Spanish colonial economy both in Peru and in New Spain .,1
7161,"In 2017 , Chris Shiflett for `` Cheney '' filled in the spring tour of `` Me First and the Gim me Gimmes '' .","In 2017 , Cheney filled in for `` Chris Shiflett '' on the spring tour of `` Me First and the Gim me Gimmes '' .",0
7162,Who is the chief election commissioner of Maharashtra?,Who will win the 2016 U.S. presidential election and why?,0
7163,"The awards have often bypassed the top try scorer , winning captain or great International player .","The awards have often bypassed the great Try scorer , winner - captain or international top player .",0
7164,"Under Portuguese rule this province was called Moçambique , but with independence the name Mozambique was renamed the entire country and province for its capital .","Under Portuguese rule this province was renamed Moçambique , but with its independence the name Mozambique was named for its capital for the whole country and the province .",0
7165,"Jonas Björkman and Fabrice Santoro won 6-2 , 6-4 against Martin Damm and Radek Štěpánek in the finals .","Martin Damm and Radek Štěpánek won against Jonas Björkman and Fabrice Santoro in the finals 6 : 2 , 6 : 4 .",0
7166,"Scurria viridula is a species of sea snail , a true limpet , a true gastropod mollusk in the family Lottiidae , one of the families of marine limpets .","Scurria viridula is a species of sea snail , a true limpet , a true gastropod mollusk in the Lottiidae family , one of the families of the marine limpets .",1
7167,The boat has an average PHRF racing handicap of 183 with a depth of 198 and a high of 180 .,The boat has a PHRF racing average handicap of 183 with a high of 198 and low of 180 .,0
7168,"The son of Ratcliffe married the scientist W. Grey Walter , and one of his two daughters was the neurophysiologist Nicholas Walter , whose grandson Francis Ratcliffe was .","Ratcliffe 's son married the scientist W. Grey Walter , and one of his two daughters was the neurophysiologist Nicholas Walter . Francis Ratcliffe was his grandson .",1
7169,"The northern slope of the Obshchy Syrt is covered by deciduous forests , while the southern slope to the Caspian Depression has the characteristics of a steppe .","The southern slope of the Obshchy Syrt is covered by deciduous forests , while the north slope towards the Caspian Depression has the characteristics of a steppe .",0
7170,Who is God?,What and Who is God?,1
7171,The 2009 Superstars Series season was the sixth season of the Campionato Italiano Superstars ( Italian Superstars Championship ) and the third season of the International Superstars Series .,The 2009 superstars season was the sixth season of the Campionato Italiano Superstars ( Italian Superstars - Championship ) and the third season of the international superstars - series .,1
7172,"In ( 5 ) the first term of the right hand side , formula _ 27 is the increment in elastic energy for unit volume change due to hydrostatic pressure .","In ( 5 ) is the first term on the right , Formula 27 , the increment of hydrostatic energy for volume change of unit due to elastic pressure .",0
7173,"Days can be humid , windy , and cold , while nights can be frigid and humid .","Days can be humid , windy and cold , while nights can be cold and humid .",1
7174,"Played 4 Won 1 ( Canberra , Gold Coast ) , Lost 3 ( Melbourne , Penrith )","2015 Played 4 Won 1 ( Melbourne ) , Lost 3 ( Canberra , Gold Coast , Penrith )",0
7175,How can I improve fluency in English?,How can I improve my communication skills in English?,1
7176,"""Prime Minister Abbas, we are facing a new opportunity today, a better future for both peoples,"" Israeli Prime Minister Ariel Sharon said after Tuesday's meeting.","""Prime Minister Abbas, we are facing a new opportunity today, a better future for both peoples,"" Mr Sharon said.
",1
7177,"While the 33d Tactical Group was inactive , it was consolidated with the 33d Fighter Group as the 33d Tactical Fighter Group .","While the 33d Fighter Group was inactive , it was merged with the 33d Tactical Group as a 33d Tactical Fighter Group .",0
7178,"Thomas Edward Donne ( 1860 -- 1945 ) was a New Zealand civil servant , writer , fine hunter and collector of Maori - antiquities and New Zealand leisure art .","Thomas Edward Donne ( 1860 -- 1945 ) was a New Zealand civil servant , author , recreational hunter and collector of Maori antiquities and New Zealand fine art .",0
7179,"Without being a great attacker , Garzelli was very constant and , on a good day , he could go with the best climbers .","Garzelli , without being a permanent attacker , was very good and could go on a great day with the best climbers .",0
7180,"While Beattyville is served by Kentucky Utilities , much of Lee County is served by Jackson Energy , based in McKee , Kentucky .","Beattyville is served by Kentucky Utilities , while much of Kentucky is served by Jackson Energy , based in McKee , Lee County that serves south-central Kentucky .",0
7181,"It also has informative soft and highly opinionated national and local news features , as well as entertaining columnists .","It also has entertaining and highly informative soft news features , as well as well-considered national and local columnists .",0
7182,"Gunnar Ryan Wiik ( ; born September 23 , 1981 ) , also known as Ryan Wiik , is a Norwegian actor and entrepreneur .","Ryan Wiik ( born September 23 , 1981 ) is a Norwegian actor and entrepreneur , also known as Gunnar Ryan Wiik .",1
7183,"He is a member of IEEE , the ACM , the AAAS and the EATCS .","He is a fellow of the ACM , the IEEE , the AAAS , and EATCS .",1
7184,The tour reached Bangkok on 12 July 2008 in Thailand and on 22 November 2008 in Shanghai .,"The tour reached July 12 , 2008 in Shanghai and on November 22 , 2008 in Bangkok , Thailand .",0
7185,"It is found in south-eastern Venezuela , where is known as jequitibá-branco or jequitibá-rosa , possibly Brazil , and possibly Colombia .","It is found in southeastern Venezuela , where is known as jequitibá-branco or jequitibá-rosa , possibly Brazil and possibly Colombia .",1
7186,"In 1994 , Crowden played the role of Professor Pollux in the BBC TV adaptation of the John Hadfield - novel `` Love on a Branch Line '' .","In 1994 , John Hadfield played the role of Professor Pollux in the BBC - TV - Adaptation of the Crowden - novel `` Love on a Branch Line '' .",0
7187,Can someone withdraw money with a photo of a cancelled cheque?,Can we withdraw money from an NRE account?,0
7188,"It serves the south-eastern Edithvale suburb of Melbourne opening on September 20 , 1919 .",It serves the south-eastern Edithvale suburb of Melbourne opening on 20 September 1919 .,1
7189,"Hassan Nasrallah joined Hezbollah after the 1982 Israeli invasion of Lebanon . In 1989 , Nasrallah traveled to Qom , Iran , where he furthered his religious studies .","After the Israeli invasion of Lebanon in 1982 , Nasrallah joined Hezbollah , and in 1989 , Hassan Nasrallah traveled to Qom , Iran , where he continued his religious studies .",0
7190,"Nicklas Kulti defeated Todd Woodbridge 6 -- 2 , 6 -- 0","Todd Woodbridge defeated Nicklas Kulti with 6 -- 2 , 6 -- 0 .",0
7191,Philip Philip Lawson is a pseudonym for Mystery novels by Michael Bishop written with Paul Di Filippo .,Michael Bishop is a pseudonym used for mystery novels written by Paul Di Filippo with Philip Lawson .,0
7192,It discussed the most important art producing communities and illustrated the work of 23 of the best known artists .,It illustrated the major art producing communities and discussed the work of 23 of the best known artists .,0
7193,"He represented the country at UEFA Euro 1968 , as Yugoslavia lost to Italy in the final .","He represented the country at UEFA Euro in 1968 , when Yugoslavia lost in the final to Italy .",1
7194,The Club The Model United Nations participates in academic discussions and intellectual forums throughout Boston and has won several chapters - awards .,The Club The Model United Nations participates in intellectual discussions and academic forums throughout Boston and has won several chapter prizes .,0
7195,"Dundas Public School is a primary school located in western Sydney , New South Wales , in the suburb of Dundas .","Dundas Public School is a primary school in western Sydney , Dundas , in the suburb of New South Wales .",0
7196,"However , the church we see today was replaced in 1640 , designed by Agostino Avanzo , and consecrated in 1655 .","The church we are seeing today , however , was consecrated in 1640 , designed by Agostino Avanzo and replaced in 1655 .",0
7197,"Incumbent Jeb Hensarling ( R-Dallas ) faced Democrat Charlie Thompson of Athens in the general election , along with Libertarian Mike Nelson .","Incumbent Jeb Hensarling ( R-Athens ) confronts Democrat Charlie Thompson of Dallas in the general election , along with Libertarian Mike Nelson .",0
7198,"Knavesmire Primary School is located on Campleshon Road , at the southern end of Knavesmire Road .","The Knavesmire Primary School is located in Campleshon Road , on the southern end of Knavesmire Road .",1
7199,These are the same or similar protocol specifications that cover the open space as AMQP :,These are the known open protocol specifications that cover the same or similar areas as AMQP :,0
7200,"Currently , the Western District is administered by Major Dennis Mello , former deputy to Howard Colvin , who was forced into retirement .","The Western District is currently administered by Major Dennis Mello , former deputy of Howard Colvin , who was forced into retirement .",1
7201,The 1940 San Diego State College football team represent San Diego State Aztecs during the 1940 College Football season .,The 1940 San Diego State Aztecs football team represented San Diego State College during the 1940 college football season .,0
7202,The 1981 Purdue Boilermakers football team represented Purdue University during the 1981 Big Ten Conference football season .,The Purdue University football team in 1981 represented Purdue Boilermakers during the 1981 football season of the big ten conference .,0
7203,It was published on 28 January 2008 in the United States by Angular Recording Corporation and on 18 March 2008 in the United Kingdom on Domino Records .,It was released on 28 January 2008 in the United States by Angular Recording Corporation and on 18 March 2008 in the United Kingdom through Domino Records .,1
7204,Kerry Kennedy Cuomo and Andrew Cuomo have been married 13 years.,"Andrew Cuomo and Kerry Kennedy were married 13 years.
",1
7205,"Both segments were abandoned in 2003 , starting with the Lafayette segment in 2002 and the Hurtsboro line .",Both track segments were abandoned beginning with the Lafayette segment in 2002 and the Hurtsboro line in 2003 .,1
7206,"Nancy returns home , and thanks her mother for trying to protect her , but Freddy appears in a mirror behind Gwen .","Nancy returns home and thanks her mother for attempting to protect her , but Freddy appears behind Gwen in a mirror .",1
7207,"Then the image of formula _ 31 is not real-valued , but nevertheless it is a subset of formula _ 1085 Thus , the character of the representation is real .","Then the image of Formula 31 is not really valuable , but nevertheless it is a subset of Formula 1085 , so the character of the representation is real .",1
7208,Cochran added a 57 - yard punt return for a hang in the third quarter and went 45 yards with an interception for a touchdown in the fourth quarter .,Cochran added a 57-yard punt return for a score in the third quarter and went 45 yards with an interception for a touchdown in the fourth quarter .,0
7209,"A Broadway - Revival 2001 was staged by Joe Mantello and played Alan Cumming as Otto , Jennifer Ehle as Gilda and Dominic West as Leo .","A 2001 Broadway revival was directed by Joe Mantello and starred Alan Cumming as Otto , Jennifer Ehle as Gilda and Dominic West as Leo .",1
7210,"During all my school years , I was in a racist environment , with white people .","During my school years , I was in a racist environment with white people .",1
7211,"In solitary areas , nests are found in rural areas , such as the tribe of a large tree , or the bottom of a clear `` Heliconia '' leaf .",In more rural areas nests are found in clear areas such as the trunk of a solitary tree or the underside of a large `` Heliconia '' leaf .,0
7212,How can one learn to scrap web data using Python?,What are some good resources to learn web scraping with Python?,1
7213,"Jack Evans won his second title in cruiser weight by winning 5-man ladder match against Sugi San , Teddy Hart , Rocky Romero and Tiger .","He won his second Cruiserweight title by winning 5-man stroke ladder - match against Sugi San , Jack Evans , Rocky Romero and Teddy Hart .",0
7214,"Through their father , Prince Philip and her sisters were first cousins of Elizabeth , Duke of Edinburgh .","Through her father , Elizabeth and her sisters , the first cousins of Prince Philip , Duke of Edinburgh , were .",0
7215,The field also included Olympian ( and in 1932 Olympic champion ) Paul Jessup of Cornell and future world record label John Anderson of Washington in 1928 .,The field also included Olympian ( and in 1932 Olympic champion ) John Anderson of Cornell in 1928 and future world record player Paul Jessup of Washington .,0
7216,Lydia Yeamans was born during a trip from Melbourne to Sydney off the coast of South Australia .,Lydia Yeamans was born off the coast of South Australia during a journey from Sydney to Melbourne .,0
7217,"""We are committed to helping the Iraqi people get on the path to a free society,"" Rumsfeld said in a speech to the Council on Foreign Relations.","""We are committed to helping the Iraqi people get on the path to a free society,"" he said.
",1
7218,"He was twice married to Elizabeth Dettlaff and Annie Kowalkowski , and had three daughters .","He was married twice , to Annie Kowalkowski and to Elizabeth Dettlaff , and had three daughters .",1
7219,The San Miguel Beermen are a professional basketball team at the PBA ( Philippine Basketball Association ) .,The San Miguel Beermen are a professional basketball team in the Philippine Basketball Association ( PBA ) .,1
7220,The maximum temperature is 33 ° Celsius and minimum temperature is 12 ° Celsius .,The maximum temperature is 33 ° Celsius and the minimum temperature is 12 ° Celsius .,1
7221,"In the early days , many wheelchair basketball players saw participation in individual wheelchair sports as supplementary training for their primary interest in basketball .","In the early days , many wheelchair basketball players saw participation in individual wheelchair sports as complementary training for their primary interest in basketball .",1
7222,"It is bordered by Pembina County , North Dakota . The nearest American community to Gretna is Neche , North Dakota .","It is limited by Pembina County , North Dakota The nearest American community to Gretna is Neche , North Dakota .",1
7223,"For the 2007 games , Futsal was added to the Basque programme ( and for the first time since 2011 ) , while Racquetball and only Pelota were dropped .","For the 2007 games , Futsal was added to the program for the first ( and only time since 2011 ) , while Racquetball and the Basque Pelota were dropped .",0
7224,"He lives with his wife Cynthia in Ridgefield , Connecticut , and has four children : Jason , Heather , Lindsay and Rebecca .","He currently lives in Ridgefield , Connecticut , with his wife Cynthia . He has four children : Lindsay , Heather , Jason , and Rebecca .",1
7225,"Remarkable neighborhoods include : Armistead Gardens , Broadway East , Barclay , Ellwood Park , Greenmount , and McElderry Park .","Notable neighborhoods include : Armistead Gardens , Broadway East , Barclay , Ellwood Park , Greenmount , and McElderry Park .",1
7226,codice 3 is a type qualifier where the unqualified type of codice 27 codice 28 is and the qualified type codice 29 .,"Where codice _ 3 is a type qualifier , which the qualified type of codice _ 27 is codice _ 28 and the unqualified type is codice _ 29 .",0
7227,"It was originally developed by groups of Chinese and Russian scholars in the Soviet Union , and used by Chinese immigrants there until most of them left the country .",It was originally developed by groups of Chinese scholars in the Soviet Union and used by Chinese and Russian immigrants there until the majority of them left the country .,0
7228,"An alternative extension to compact groups is the Peter -- Weyl -- Theorem , which proves results about representations of compact groups analogous to those on finite groups .","An alternative extension to compact groups is the Peter Weyl theorem , which proves results about representations of finite groups analogous to those about compact groups .",0
7229,The calculation shows that the number of deaths from pneumonia and influenza have exceeded the usual number for recent weeks.,"One is a statistical calculation based on the number of deaths from pneumonia and influenza in 122 cities.
",0
7230,"The Ojhas are spiritual guides , teachers and members of the highest ritual rank as brahmans in the varna system of Hinduism .","The Ojhas are ritual leaders , teachers and members of the highest spiritual rank as brahmans in the varna system of Hinduism .",0
7231,How do you do Autism shutdown recovery?,How do you Autism shutdown recovery?,1
7232,"Why is our choice between theocracy and jewocracy and so between no or any tax, usury, inflation, speculation, war, imprisonment or miscegenation?",What is so wrong with the jews?,0
7233,How can I stop feeling inferior when I'm around a woman that's more attractive?,How do I stop feeling inferior when I go to an expensive place?,0
7234,The Dublin Council of Trade Unions is the trades council for County Dublin in Ireland .,The Dublin Council of Unions is the trade council for the county of Dublin in Ireland .,1
7235,Early industries in Hughesville were built to serve farmers and citizens of the Eastern Lycoming County .,Early industries were built in Lycoming County to serve the farmers and citizens of East - Hughesville .,0
7236,Neustadtl an der Donau is a town in the district of Lower Austria in Amstetten in Austria .,"Neustadtl an der Donau is a town in the district of Amstetten in Lower Austria , Austria .",0
7237,"Mabanda is a city near the southernmost tip of Burundi , close to the border with Tanzania .","Mabanda is a city located close to the southern tip of Burundi , near the border with Tanzania .",1
7238,Petina Gappah was born in Zambia in the province of Copperbelt .,Petina Gappah was born in Zambia in the province of Copperbelt .,1
7239,"The pork is cut thick , about 2 inches square , and should consist equally of fat and lean meat .","The pork is thick cut , about 2 inches in the square , and should consist of fat and lean meat .",1
7240,He lived in Italy for ten years and won the classic Bardolino race in Turin for six years in a row from 2001 to 2006 .,"He lived ten years in Turin , Italy , and won the classic race of Bardolino in Italy from 2001 to 2006 for six years in a row .",0
7241,"The top rate will go to 4.45 percent for all residents with taxable incomes above $500,000.","For residents with incomes above $500,000, the income-tax rate will increase to 4.45 percent.
",1
7242,"According to the United States Census Bureau , Ardmore is a total surface area of which is land and , or 3.67 % , has water .","According to the United States Census Bureau , Ardmore is a total area , of which is land and , or 3.67 % , has water .",1
7243,"The Soviet Union was officially neutral until June 1941 in Asia , and until August 1945 in Europe , when it attacked Japan in cooperation with the U.S .","The Soviet Union was officially in Asia until June 1941 , and officially neutral in Europe until August 1945 , when it attacked Japan in collaboration with the US .",1
7244,"Lex Davison won his second AGP a victory , which he shared as a relief driver after Bill Patterson was using it .",Bill Patterson won his second AGP a victory he shared after using Lex Davison as a relief driver .,0
7245,Is it safe for a bengali hindu to study MBBS at jamia hamdard insitute?,Gujarat 500 crore bank scam lawyer?,0
7246,Octavian annexed the value of Egypt and recognized the Kingdom as a Roman province .,Octavian annexed the value of holding Egypt and had the kingdom recognized as a Roman province .,1
7247,What is CRR and SLR?,"If a bank already maintains CRR, what is the need for SLR?",0
7248,"His son was the scientist Francis Ratcliffe , and one of his two daughters was married to the neurophysiologist W. Grey Walter , whose grandson Nicholas Walter was .","The son of Ratcliffe married the scientist W. Grey Walter , and one of his two daughters was the neurophysiologist Nicholas Walter , whose grandson Francis Ratcliffe was .",0
7249,Emma Townshend is represented by David Godwin at the DGA Associates .,David David Godwin is represented at DGA Associates by Emma Townshend .,0
7250,What is the best field for earning money after completing a B.Tech in mechanical engineering?,Which course after b.tech in mechanical engineering suits best?,1
7251,The first meeting of the BBU 1932 in Chicago was the final meeting of the GARBC .,The last meeting of the BBU 1932 in Chicago was the first meeting of the GARBC .,0
7252,The friendship between him and Duncan ended at a club meeting in 1951 when the two disagreed at an annual meeting and Duncan reported that Greaves said :,"The friendship between him and Duncan ended at a club meeting in 1951 , when they disagreed at an annual meeting , and Greaves reported that Duncan said :",0
7253,"Recently Antonio appeared in Ireland in duo with singer Donovan and special guest Chris De Burgh , and with Eoin Dillon ( Kila ) .",Antonio recently appeared in Ireland with the singer Donovan and the special guest Chris De Burgh and with Eoin Dillon ( Kila ) in Ireland .,1
7254,"In 2012 , he went to Canada to play with London City in the Canadian Soccer League , returning to Serbia to play with Srem Jakovo and Jedinstvo Surčin .","In 2012 , he returned to Canada to play with London City in the Canadian Soccer League.He went to Serbia to play with Srem Jakovo , and Jedinstvo Surčin .",0
7255,"In February 2016 , Souray married former WWE wrestler Kelly Kelly , better known as Barbara Blank , and separated in October 2017 .","Souray married former WWE professional wrestler Barbara Blank , better known as Kelly Kelly in February 2016 . They have separated in October 2017 .",0
7256,The measures could be taken up by the full Senate as early as Friday.,"Ratliff said he hopes to bring the two measures to the full Senate by Friday.
",1
7257,"For example , the National Civic League ( originally the National Municipal League ) promotes effective municipal management .","For example , the National Municipal League ( originally the National Civic League ) encourages effective management of local government .",0
7258,"""I conclude that plaintiffs have shown, albeit barely ... that Iraq provided material support to Bin Laden and Al Qaeda,"" Baer said.","Judge Harold Baer concluded Wednesday that lawyers for the two victims ""have shown, albeit barely ... that Iraq provided material support to bin Laden and al-Qaida.""
",1
7259,"`` Madang '' was built by Evans Deakin in Brisbane , Queensland , launched on August 10 , 1968 and commissioned on November 28 , 1968 .","`` Madang '' was commissioned by Evans Deakin in Brisbane , Queensland , on August 10 , 1968 , and launched on November 28 , 1968 .",0
7260,Suppose we have an isolated system whose macroscopic state is specified by a number of variables .,Suppose we have a macroscopic system whose isolated state is specified by a number of variables .,0
7261,Adults often remove paper from new nests and use it in order to recycle for old .,Adults often remove paper from old nests and recycle it to use it for new ones .,0
7262,The group died in 1991 when the most active members joined Quartex .,"The group died in 1991 , when Quartex joined the most active members .",0
7263,"Ogoki River , located to the northeast of Marten Falls First Nation ( Ogoki Post ) near Ogoki Post Airport in Ontario , Canada .","Ogoki Post Airport , , is located northeast of Marten Falls First Nation ( Ogoki Post ) near the Ogoki River in Ontario Canada .",0
7264,"In the early days , many wheelchair basketball players saw participation in supplementary wheelchair sports as primary training for their individual interest in basketball .","In the early days , many wheelchair basketball players saw participation in individual wheelchair sports as complementary training for their primary interest in basketball .",0
7265,"He spoke throughout East Asia and Ghana in 1958 , and in 1961 in Northern and Western Europe .","In 1958 he spoke throughout East Asia and in Western Europe , and in 1961 in Northern Ghana .",0
7266,"It contains remixes and acoustic versions of previously released singles , as well as the non-album B-page `` From a Desert to a Beach '' .","It contains remixes and non-album versions of previously released singles , as well as the acoustic B-side `` From a Desert to a Beach '' .",0
7267,"Lee is expected to face Edson Barboza on April 21 , 2018 at UFC Fight Night 128 .","On April 21 , 2018 , Edson Barboza is expected to meet at UFC Fight Night 128 .",1
7268,"One night , Rick contacts Jill and informs her of Maddy 's sudden death .",One night Rick contacts Maddy and informs her about Jill 's sudden death .,0
7269,"He was married twice , to Elizabeth Dettlaff and to Annie Kowalkowski , and had three daughters .","He was twice married to Annie Kowalkowski and Elizabeth Dettlaff , and had three daughters .",1
7270,"Bubas is a genus of Scarabaeidae or scarab beetles in the superfamily Scarabaeoidea . These beetles have been found in Spain , France and Italy .","Bubas is a species of Scarabaeidae or Scarabaeus beetles in the superfamily Scarabaeoidea These beetles have been found in France , Italy and Spain .",1
7271,"Nevertheless , his undergraduate notes on his detailed laboratory work are remarkable .","Nevertheless , his detailed notes on his academic laboratory work are remarkable .",0
7272,"Dye rode after eight years in Mauritius , Hong Kong .",Dye rode in Hong Kong in Mauritius after eight years .,0
7273,"These were rare in the United Kingdom , but relatively frequent in Europe , at least for large locomotives .","These were rare in the United Kingdom , but relatively common in Europe , at least for large locomotives .",1
7274,She is currently recording and producing music for other artists and writing solo pieces under the name Tobora .,"She is currently writing music for other artists , also recording and producing solo tracks under the name Tobora .",0
7275,Kelly will begin meetings with Russian Deputy Foreign Minister Alexander Losyukov in Washington on Monday.,"Russian Deputy Foreign Minister Alexander Losyukov said in Moscow Tuesday a firm date would be fixed by this months end.
",0
7276,"Estella flirts with and marries Bentley Drummle , a disdainful rival of Pip 's , and eventually pursues him for his money .","Estella flirts with Bentley Drummle , a disdainful rival of pip , and marries him and eventually pursues him for his money .",1
7277,"Finally , the published prose history ( `` Bataviae Hollandiaeque Annales '' ) was commissioned in 1601 .","Finally , in 1601 , the published prose story ( `` Bataviae Hollandiaeque Annales '' ) was commissioned .",1
7278,How true are near death experiences?,Is near death experience true?,1
7279,"Burki started his career in Paris for a year , until he returned to Switzerland to work in rotogravure from 1971 to 1979 .",He started his career for a year in Paris until he returned to Switzerland from 1971 to 1979 to work in gravure .,1
7280,"He was born on February 17 , 1828 in Waynesboro , Virginia , and his parents were William Henry Harman and Sally ( Garber ) Harman .","William Henry Henry Harman was born on 17 February 1828 in Waynesboro , Virginia , where his parents were Lewis and Sally ( Garber ) Harman .",0
7281,"According to ethnic statistics , at the end of 1989 , 12,500 people were self-nominated Soviet veps .","According to Soviet statistics , at the end of 1989 , 12,500 people were named ethnic veps themselves .",0
7282,"This was followed by `` Night Mother '' with Edgar Metcalfe for Jill Perryman at Perth Playhouse , then national .",This was followed by `` Night Mother '' with Jill Perryman for Edgar Metcalfe at the Perth Playhouse then nationwide .,0
7283,Coordination type polymers are also stereoregular and can be isotactic or syndiotactic instead of just atactic .,Polymers of the type of coordination are also atactic and can be isotactic or syndiotactic instead of just stereoregular .,0
7284,The first vulnerability is a buffer overrun that results from IE's failure to properly determine an object type returned from a Web server.,"First up, Microsoft said a buffer overrun vulnerability occurs because IE does not properly determine an object type returned from a Web server.
",1
7285,"Excluding food and energy costs, the core CPI was up 0.1 percent last month, compared to a rise of 0.2 percent in July.","Excluding food and energy costs, the core CPI is seen rising 0.2 percent, matching the July figure.
",1
7286,What is unusual or different about the food and cuisine in Sweden?,What is unusual or different about the food and cuisine in Singapore?,0
7287,The river Neajlovel is a tributary of the River Neajlov in Romania .,The Neajlovel River is a tributary of the Neajlov River in Romania .,1
7288,"Winter is characterized by cool , and quite dry , sunny days , and pleasant and occasionally foggy nights .","The winter is characterized by dry , sunny and pleasant days and cool and occasionally foggy nights .",0
7289,William died in 1859 and Elizabeth died the following year .,"In 1859 , Elizabeth died and in the following year William died .",0
7290,"The broad Standard & Poor's 500 Index <.SPX> lost 6 points, or 0.71 percent, to 927.","The broad Standard & Poors 500-stock index was down 4.77 points to 929.62.
",1
7291,How can I have more wet dreams?,What if I have wet dreams?,0
7292,ISC and NASCAR officials declined to comment.,"NASCAR officials could not be reached for comment Tuesday.
",0
7293,"In many problems , it is more convenient to work with D and the free charges than with E and the total charge .",In case of many problems it is more convenient to work with D and the free charges than with E and the total charge .,1
7294,San Pedro Springs Park is located in the San Antonio city of Bexar County in the U.S. state of Texas .,San Pedro Springs Park is located in the city of San Antonio des Bexar County in the US state of Texas .,1
7295,What is some good advice when transition to a new workplace with new colleagues?,"What is some good advice for the ""new guy"" at the workplace?",0
7296,"On April 1 , 2010 , Robertson made the first official maximum pause of his career in his second round of match at the China Open against Peter Ebdon 2010 .","On April 1 , 2010 , Peter Ebdon made the first official maximum break of his career at the China Open 2010 against Robertson in his second lap .",0
7297,"On 23 September , Myles C. Fox reached Yokosuka and left San Diego on 8 October .",On 23 September left Myles C. Fox `` Yokosuka and reached San Diego on 8 October .,0
7298,"The locomotives were delivered from Neilson , Reid and Company and ordered in 1903 .","The locomotives were ordered from Neilson , Reid and Company and were delivered in 1903 .",0
7299,Neustadtl an der Donau is a city located in the district of Amstetten in Lower Austria in Austria .,Neustadtl an der Donau is a town in the district of Lower Austria in Amstetten in Austria .,0
7300,"The exception was between late 2005 and 2009 , when he played in Sweden with Carlstad United BK , Serbia with FC Terek Grozny and the Russian FK Borac Čačak .","The exception was between late 2005 and 2009 when he played in Sweden with Carlstad United BK , Serbia with FK Borac Čačak and Russian FC Terek Grozny .",0
7301,"Types A and B were proposed in the 1970s , and the other types were proposed subsequently when the first two proved insufficient to classify ADRs .","Types A and B were proposed in the 1970 ’ s , and the first types were subsequently proposed when the other two had proved insufficient to classify ADRs .",0
7302,Bordentown is southeast of Trenton and northeast of Philadelphia .,Trenton is located southeast of Bordentown and northeast of Philadelphia .,0
7303,The inductive method is essentially the application of the scientific approach to investigation .,The inductive method is essentially the application of the scientific approach to the investigation .,1
7304,How do we make money online?,What are some easy ways to make done extra money online?,1
7305,"Blue jays , like other corvids , are highly intelligent and are considered curious birds .","Like other Corvids , Blue Jays are very curious and are considered intelligent birds .",0
7306,"A few weeks later , Fixell defended his position in an interview with HumansVsZombies.org .","A few weeks later , HumansVsZombies.org defended his position in an interview with Fixell .",0
7307,"In 2014 , Quintiq was bought by Dassault Systèmes .",Dassault Systèmes was bought by Quintiq in 2014 .,0
7308,"Dunham Township changed its name from Byron Township on December 28 , 1850 , to avoid confusion with Byron Township and to honor a resident , Solomon J. Dunham .","On December 28 , 1850 , the name of Dunham Township changed from Byron Township to avoid confusion with Byron Township and honor a resident of Solomon J. Dunham .",1
7309,The friendship between him and Duncan ended at a club meeting in 1951 when the two disagreed at an annual meeting and Duncan reported that Greaves said :,"The friendship between him and Duncan ended in 1951 at a club meeting , when the two contradicted an annual meeting , and Duncan reported that Greaves said :",1
7310,How do I make friends in office?,How can I make friends in office?,1
7311,"The university has awarded 36 team national championships , which includes 7 football national championships ( football championships are not claimed by the NCAA ) .","The university claimed 36 national team championships , including 7 national football championships ( football championships are not awarded by the NCAA ) .",0
7312,"Red Sulphur Sky is a solo album by American jazz trumpeter Wadada Leo Smith , which was released in 2001 and recorded at Tzadik Records .","Red Sulphur Sky is a solo album by American jazz trumpeter Wadada Leo Smith , which was recorded in 2001 and published by Tzadik Records .",0
7313,"96 % of people spoke only English at home . The next most common languages were 1.5 % Vietnamese , 1 % Samoan .","96 % of people spoke at home only English , the second most common languages were 1.5 % Samoan , 1 % Vietnamese .",0
7314,The province of Puerto Inca is the largest of the eleven provinces in the Huánuco region in Peru .,The Huánuco Region is the largest of eleven provinces of the Puerto Inca Province in Peru .,0
7315,"Don Myers is the father of Michael Myers and Judith Myers in the novel , in contrast to Peter Myers in the Film .","Don Myers is the father of Michael Myers and Judith Myers in the novel , as opposed to Peter Myers in the film .",1
7316,The season 2010-11 rain or gloss Elasto painter was the fifth season of the franchise in the PBA ( Philippine Basketball Association ) .,The 2010 season -- 11 Rain or Shine Elasto painter was the fifth season of the franchise at the Philippine Basketball Association ( PBA ) .,1
7317,"Kennedy withdrew from the race and Humphrey had gained the victory , he needed to prove to the party 's bosses that a Catholic could win in a non-Catholic state .","Humphrey withdrew from the race , and Kennedy had gained the victory he needed to prove to the Party ’ s bosses that a Catholic could win in a non-Catholic state .",0
7318,"There are seven picnic areas and several have reserved pavilions , the largest of which can be covered for up to 100 people and can be covered .","There are seven picnic areas and several have covered pavilions , the largest of which can be reserved for up to 100 people .",0
